13:34:36 === monitor start | follow_rotation=False interval=60.0s max=90.0min | cookie_len=1377 ===
13:34:37 [+  0.0m] #1 http=200 token=Y err=None ATE=14:34:16(in +59.6m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
14:25:48 [+ 51.2m] #52 http=200 token=Y err=None ATE=14:34:16(in +8.5m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
14:26:49 [+ 52.2m] #53 http=200 token=Y err=None ATE=14:34:16(in +7.4m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
14:27:49 [+ 53.2m] #54 http=200 token=Y err=None ATE=14:34:16(in +6.4m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
14:28:49 [+ 54.2m] #55 http=200 token=Y err=None ATE=14:34:16(in +5.4m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
14:29:49 [+ 55.2m] #56 http=200 token=Y err=None ATE=14:34:16(in +4.4m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
14:30:50 [+ 56.2m] #57 http=200 token=Y err=None ATE=14:34:16(in +3.4m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
14:31:50 [+ 57.2m] #58 http=200 token=Y err=None ATE=14:34:16(in +2.4m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
14:32:50 [+ 58.2m] #59 http=200 token=Y err=None ATE=14:34:16(in +1.4m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
14:33:50 [+ 59.2m] #60 http=200 token=Y err=None ATE=15:33:50(in +60.0m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
14:34:51 [+ 60.2m] #61 http=200 token=N err='RefreshAccessTokenError' ATE=None(in n/a) keys=['accessTokenError', 'expires', 'user'] rot(len=340,changed=True)
14:34:51 === FAILURE DETECTED ===
14:34:51     first accessTokenExpiresAt seen : 14:34:16
14:34:51     failed at elapsed              : +60.2 min
14:34:51     accessTokenError               : 'RefreshAccessTokenError'
14:34:51     => Compare 'failed at' to the first ATE: a match means the FIRST refresh failed (refresh is broken / single-use). Surviving several ATE cycles before this would mean rotation-following works.
